From	Entry	Transmembrane	Transit peptide
Q13015	Q13015		
P04921	P04921	TRANSMEM 58..81; /note="Helical; Signal-anchor for type III membrane protein"	
Q8BG31	Q8BG31		
Q03482	Q03482	TRANSMEM 52..69; /note="Helical"; /evidence="ECO:0000255"	
O94428	O94428		
Q8N5A5	Q8N5A5		
Q9NSG2	Q9NSG2		
Q86UT6	Q86UT6		TRANSIT 1..86; /note="Mitochondrion"
Q8BJ64	Q8BJ64		TRANSIT 1..34; /note="Mitochondrion"; /evidence="ECO:0000250"
O42878	O42878		
Q96HI0	Q96HI0		
O17514	O17514		
G5EG44	G5EG44		
P12294	P12294		
Q969F1	Q969F1		
Q02099	Q02099		
Q6ZT62	Q6ZT62		
P48412	P48412		
Q96M32	Q96M32		
P34122	P34122		
P56291	P56291		
P48527	P48527		TRANSIT 1..?; /note="Mitochondrion"; /evidence="ECO:0000255"
O43929	O43929		
P53061	P53061		
Q22197	Q22197		
O74541	O74541		
Q9N425	Q9N425		
Q10154	Q10154		
Q8N684	Q8N684		
Q93560	Q93560		
Q03246	Q03246		
P19954	P19954		TRANSIT 1..66; /note="Chloroplast"; /evidence="ECO:0000269|PubMed:10874039, ECO:0000269|PubMed:2376575"
Q9TZ70	Q9TZ70		
P56216	P56216		
Q96H96	Q96H96	TRANSMEM 84..104; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_03189"; TRANSMEM 109..129; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_03189"; TRANSMEM 149..169; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_03189"; TRANSMEM 173..193; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_03189"; TRANSMEM 204..224; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_03189"; TRANSMEM 232..252; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_03189"; TRANSMEM 278..298; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_03189"; TRANSMEM 301..321; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_03189"; TRANSMEM 333..353; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_03189"	TRANSIT 1..34; /note="Mitochondrion"; /evidence="ECO:0000255|HAMAP-Rule:MF_03189"
P30222	P30222		TRANSIT 1..?; /note="Chloroplast"; /evidence="ECO:0000255"
P32908	P32908		
Q10FT0	Q10FT0		
Q9TY84	Q9TY84		
O75952	O75952		
Q940H2	Q940H2		TRANSIT 1..93; /note="Chloroplast"; /evidence="ECO:0000255"
Q9N658	Q9N658		
P48327	P48327		
Q8NG31	Q8NG31		
Q7KMJ6	Q7KMJ6		
P29214	P29214		
Q9H147	Q9H147		
Q6EMB2	Q6EMB2		
Q9SKZ1	Q9SKZ1		
G5ECG2	G5ECG2		
Q9SZI6	Q9SZI6		
O13956	O13956		
Q95167	Q95167	TRANSMEM 191..212; /note="Helical; Name=Segment S1"; /evidence="ECO:0000250|UniProtKB:P63142"; TRANSMEM 233..254; /note="Helical; Name=Segment S2"; /evidence="ECO:0000250|UniProtKB:P63142"; TRANSMEM 266..284; /note="Helical; Name=Segment S3"; /evidence="ECO:0000250|UniProtKB:P63142"; TRANSMEM 297..317; /note="Helical; Voltage-sensor; Name=Segment S4"; /evidence="ECO:0000250|UniProtKB:P63142"; TRANSMEM 333..354; /note="Helical; Name=Segment S5"; /evidence="ECO:0000250|UniProtKB:P63142"; TRANSMEM 396..424; /note="Helical; Name=Segment S6"; /evidence="ECO:0000250|UniProtKB:P63142"	
Q5YLB5	Q5YLB5		TRANSIT 1..?; /note="Chloroplast and mitochondrion"
P43122	P43122		TRANSIT 1..30; /note="Mitochondrion"; /evidence="ECO:0000255|HAMAP-Rule:MF_03179"
P45815	P45815		
Q08810	Q08810		
P53866	P53866		
Q9BRS8	Q9BRS8		
Q9W157	Q9W157		
Q9Y252	Q9Y252		
O74734	O74734		TRANSIT 1..?; /note="Mitochondrion"; /evidence="ECO:0000255"
Q43784	Q43784		TRANSIT 1..78; /note="Chloroplast"; /evidence="ECO:0000250"
Q9SW31	Q9SW31	TRANSMEM 122..142; /note="Helical"; /evidence="ECO:0000255"	
Q6Q547	Q6Q547		
O36029	O36029		
Q969F9	Q969F9		
C9JLW8	C9JLW8		
Q9C8L2	Q9C8L2		TRANSIT 1..72; /note="Chloroplast"; /evidence="ECO:0007744|PubMed:22223895"
K4D422	K4D422		
Q94B35	Q94B35		TRANSIT 1..38; /note="Chloroplast"; /evidence="ECO:0000255"
Q68E01	Q68E01		
O59767	O59767		
O94248	O94248		
Q9Y605	Q9Y605		
P40228	P40228		
Q9NRR8	Q9NRR8		
Q03151	Q03151		TRANSIT 1..?; /note="Mitochondrion"; /evidence="ECO:0000255"
Q9UFW8	Q9UFW8		
Q9NPJ4	Q9NPJ4		
Q9LU21	Q9LU21		TRANSIT 1..48; /note="Chloroplast"; /evidence="ECO:0000255"
O94276	O94276		
Q5SRY7	Q5SRY7		
O74385	O74385		
Q4VAE3	Q4VAE3	TRANSMEM 111..131; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 139..159; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 204..224; /note="Helical"; /evidence="ECO:0000255"	TRANSIT 1..55; /note="Mitochondrion"; /evidence="ECO:0000255"
P82669	P82669		
Q92353	Q92353		
P63002	P63002		
Q8NEZ4	Q8NEZ4		
O46915	O46915		
Q9P6P0	Q9P6P0		
O70200	O70200		
Q99188	Q99188		
A4GSN8	A4GSN8		
P53810	P53810		
Q8C206	Q8C206	TRANSMEM 16..36; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 49..69; /note="Helical; Name=2"; /evidence="ECO:0000255"; TRANSMEM 88..108; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 120..140; /note="Helical; Name=4"; /evidence="ECO:0000255"; TRANSMEM 167..187; /note="Helical; Name=5"; /evidence="ECO:0000255"; TRANSMEM 228..248; /note="Helical; Name=6"; /evidence="ECO:0000255"; TRANSMEM 260..280; /note="Helical; Name=7"; /evidence="ECO:0000255"	
O42953	O42953		
A7DTF0	A7DTF0		
Q6NVF4	Q6NVF4		
Q9HFE6	Q9HFE6		
Q8RY71	Q8RY71		
Q6IPR1	Q6IPR1		
D4A2Y9	D4A2Y9	TRANSMEM 135..155; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 175..192; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 234..254; /note="Helical"; /evidence="ECO:0000255"	
P42845	P42845		
O60921	O60921		
Q8BZA9	Q8BZA9		
P42951	P42951		
Q9LS24	Q9LS24		
P38198	P38198		
Q9JK95	Q9JK95	TRANSMEM 12..32; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 81..101; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 110..130; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 151..171; /note="Helical"; /evidence="ECO:0000255"	
P53264	P53264		TRANSIT 1..39; /note="Mitochondrion"; /evidence="ECO:0000255"
B2D6P4	B2D6P4		
Q15811	Q15811		
Q9M158	Q9M158	TRANSMEM 103..123; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 277..297; /note="Helical"; /evidence="ECO:0000255"	TRANSIT 1..15; /note="Chloroplast"; /evidence="ECO:0000255"; TRANSIT 16..69; /note="Thylakoid"; /evidence="ECO:0000305|PubMed:19682289"
Q0WQ91	Q0WQ91		
