Acession code	Predicted	True
Q13015	0	0
P04921	0	0
Q8BG31	0	0
Q03482	0	0
O94428	0	0
Q8N5A5	0	0
Q9NSG2	0	0
Q86UT6	0	0
Q8BJ64	0	0
O42878	0	0
Q96HI0	0	0
O17514	0	0
G5EG44	0	0
P12294	0	0
Q969F1	0	0
Q02099	0	0
Q6ZT62	0	0
P48412	0	0
Q96M32	0	0
P34122	0	0
P56291	0	0
P48527	0	0
O43929	0	0
P53061	0	0
Q22197	0	0
O74541	0	0
Q9N425	0	0
Q10154	0	0
Q8N684	0	0
Q93560	0	0
Q03246	0	0
P19954	0	0
Q9TZ70	0	0
P56216	0	0
Q96H96	0	0
P30222	0	0
P32908	0	0
Q10FT0	0	0
Q9TY84	0	0
O75952	0	0
Q940H2	0	0
Q9N658	0	0
P48327	0	0
Q8NG31	0	0
Q7KMJ6	0	0
P29214	0	0
Q9H147	0	0
Q6EMB2	0	0
Q9SKZ1	0	0
G5ECG2	0	0
Q9SZI6	0	0
O13956	0	0
Q95167	0	0
Q5YLB5	0	0
P43122	0	0
P45815	0	0
Q08810	0	0
P53866	0	0
Q9BRS8	0	0
Q9W157	0	0
Q9Y252	0	0
O74734	0	0
Q43784	0	0
Q9SW31	0	0
Q6Q547	0	0
O36029	0	0
Q969F9	0	0
C9JLW8	0	0
Q9C8L2	0	0
K4D422	0	0
Q94B35	0	0
Q68E01	0	0
O59767	0	0
O94248	0	0
Q9Y605	0	0
P40228	0	0
Q9NRR8	0	0
Q03151	0	0
Q9UFW8	0	0
Q9NPJ4	0	0
Q9LU21	0	0
O94276	0	0
Q5SRY7	0	0
O74385	0	0
Q4VAE3	0	0
P82669	0	0
Q92353	0	0
P63002	0	0
Q8NEZ4	0	0
O46915	0	0
Q9P6P0	0	0
O70200	0	0
Q99188	0	0
A4GSN8	0	0
P53810	0	0
Q8C206	0	0
O42953	0	0
A7DTF0	0	0
Q6NVF4	0	0
Q9HFE6	0	0
Q8RY71	0	0
Q6IPR1	0	0
D4A2Y9	0	0
P42845	0	0
O60921	0	0
Q8BZA9	0	0
P42951	0	0
Q9LS24	0	0
P38198	0	0
Q9JK95	1	0
P53264	0	0
B2D6P4	0	0
Q15811	0	0
Q9M158	0	0
Q0WQ91	0	0
P34162	0	0
O94384	0	0
O13927	0	0
Q9H583	0	0
O74489	0	0
P22734	1	0
Q7Z614	0	0
O14042	0	0
Q42496	0	0
Q07335	0	0
Q9VMD0	0	0
O09112	0	0
Q04888	0	0
P53941	0	0
P46416	0	0
Q23889	0	0
Q9UDW3	0	0
Q60676	0	0
O13650	0	0
Q85FP0	0	0
Q9US49	0	0
Q9Y7X4	0	0
Q9P7K1	0	0
Q5TYM5	0	0
O43719	0	0
P18494	0	0
Q9STS7	0	0
Q80WE4	0	0
P53184	0	0
Q12509	0	0
O95905	0	0
A8CVF3	0	0
F1M386	0	0
Q10272	0	0
P49334	0	0
Q86XK2	0	0
Q2LCP0	0	0
O14141	0	0
O22130	0	0
Q9FX67	0	0
Q6P4R8	0	0
Q9VGH1	0	0
Q9SA52	0	0
O43482	0	0
Q9V452	0	0
P41229	0	0
P35729	0	0
Q2M1K9	0	0
Q9V3V7	0	0
P34537	0	0
Q9LXR8	0	0
P50748	0	0
Q7JNM3	0	0
Q9H7E2	0	0
Q9U213	0	0
Q9NRP7	0	0
Q9VXG1	0	0
Q9FJ95	0	0
Q6CLY8	0	0
Q5HZG9	0	0
Q3V6T2	0	0
P81122	0	0
O48917	0	0
Q9UT60	0	0
P51371	0	0
P78508	0	0
Q59RL7	0	0
Q9C5J3	0	0
P97452	0	0
P50105	0	0
Q92945	0	0
P32800	0	0
Q3E785	0	0
Q4V7C6	0	0
Q9USZ4	0	0
P40019	0	0
Q8NCN4	0	0
Q9UPR3	0	0
Q2HJJ1	0	0
O13612	0	0
Q9HE09	0	0
Q03694	0	0
P32858	1	0
Q22812	0	0
Q9S7Z8	0	0
Q42512	0	0
Q9FFJ8	0	0
P40968	0	0
Q15466	0	0
Q00059	0	0
Q9LER7	0	0
O43586	0	0
Q9NTZ6	0	0
Q96P88	0	0
O22788	0	0
O62471	0	0
Q64244	0	0
Q9UNS2	0	0
Q149M9	0	0
Q11193	0	0
O79550	1	0
P38872	0	0
Q9FK13	0	0
P40535	0	0
Q96BN2	0	0
Q66GP9	0	0
P27889	0	0
O19900	0	0
