Entry	Signal peptide
A0A0A1I6E7	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:25332684"
A0A0A1I6N9	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:25332684"
A0A0D1DWQ2	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:30651637"
A0A1L6K371	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:27936684"
A0A1S3PBB7	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:10583403"
A0A2I4E5L6	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:30054513"
A0A2L0ART2	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:29358396"
A0A411EZW9	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:28063838"
A0A5C2A2T2	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:30765458"
A0A7J6K7I9	SIGNAL 1..64; /evidence="ECO:0000269|PubMed:30377279"
A0A7J6K7Y0	SIGNAL 1..70; /evidence="ECO:0000269|PubMed:30377279"
A1XRN2	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:17071122"
A2AJB7	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:1591332"
A2VBC4	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:17761205"
A3RF67	SIGNAL 1..31; /evidence="ECO:0000269|PubMed:16098548"
A4VBF0	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:18083205"
A5HAK0	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:18508078"
A6P6V9	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:17544411, ECO:0000269|PubMed:8663284"
A6XMY0	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:17658600"
A8CG86	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:17611171"
A8CL69	SIGNAL 1..33; /evidence="ECO:0000269|PubMed:17068263"
A8E2V8	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:22115990"
A8QL52	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:19393676"
B0XT72	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:10809732"
B2G331	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:18579526"
B3A003	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:20633278"
B5AR80	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:19135502, ECO:0000269|PubMed:22480909"
B7FDP2	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:19631296"
B7S4N9	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:1485334, ECO:0000269|PubMed:21843588"
B7ZS96	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:11080066"
B8AL97	SIGNAL 1..34; /evidence="ECO:0000269|PubMed:27064905"
B8JLQ9	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:21921028"
C0H9B6	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:25369234"
C0HJM9	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:26083731"
C0HK27	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:28196677"
C0HKM3	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:28479398"
C0HLL2	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:31173792"
C7F6X3	SIGNAL 1..20; /evidence="ECO:0000255, ECO:0000269|PubMed:22426061, ECO:0000269|PubMed:23203635"
C9K4X8	SIGNAL 1..29; /evidence="ECO:0000269|PubMed:19470645"
D3GDK4	SIGNAL 1..15; /evidence="ECO:0000269|PubMed:24848382"
D4A540	SIGNAL 1..31; /evidence="ECO:0000269|PubMed:26479776"
E3W9M2	SIGNAL 1..30; /evidence="ECO:0000269|PubMed:20971893"
E7CLP2	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:21605585"
F1N5C8	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:23161088"
F1NSM7	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:10551857, ECO:0000269|PubMed:12225802"
F1RRV3	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:12387814"
F8QN53	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:21185324"
F8QN54	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:21185324"
G4ZHR2	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:26163574"
G5ED35	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:20526330"
G8XQX1	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:21802487"
G9I929	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:22094702"
G9I930	SIGNAL 1..30; /evidence="ECO:0000269|PubMed:22094702"
H6U1I8	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:22385412"
I1SB12	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:11179980"
I2C090	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:22561424"
I2G9B4	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:23262217"
I3LGZ3	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:28900043"
J7H670	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:22963728"
K9IMD0	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:7740503"
M1MR49	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:23825947"
O00092	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:9143104"
O00175	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:9104803, ECO:0000269|PubMed:9365122"
O00206	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:15340161"
